ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,NYG,NY,,,,,,,,,,,,,,,
2,SF,MIN,,,,,,,,,,,,,,,
3,HOU,MIN,,,,,,,,,,,,,,,
4,GB,GB,,,,,,,,,,,,,,,
5,NYJ,TOT,,,,,,,,,,,,,,,
7,DET,MIN,,,,,,,,,,,,,,,
8,LAR,LA,,,,,,,,,,,,,,,
9,IND,MIN,,,,,,,,,,,,,,,
10,JAX,JAX,,,,,,,,,,,,,,,
11,TEN,TEN,,,,,,,,,,,,,,,
12,CHI,CHI,,,,,,,,,,,,,,,
13,ARI,MIN,,,,,,,,,,,,,,,
14,ATL,MIN,,,,,,,,,,,,,,,
15,CHI,MIN,,,,,,,,,,,,,,,
16,SEA,SEA,,,,,,,,,,,,,,,
17,GB,MIN,,,,,,,,,,,,,,,
18,DET,DET,,,,,,,,,,,,,,,
