ROUND,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,BAL,KC,,,,,,,,,,,,,,,
2,CIN,KC,,,,,,,,,,,,,,,
3,ATL,ATL,,,,,,,,,,,,,,,
4,LAC,LA,,,,,,,,,,,,,,,
5,NO,KC,,,,,,,,,,,,,,,
7,SF,SF,,,,,,,,,,,,,,,
8,LV,LV,,,,,,,,,,,,,,,
9,TB,KC,,,,,,,,,,,,,,,
10,DEN,KC,,,,,,,,,,,,,,,
11,BUF,BUF,,,,,,,,,,,,,,,
12,CAR,CAR,,,,,,,,,,,,,,,
13,LV,KC,,,,,,,,,,,,,,,
14,LAC,KC,,,,,,,,,,,,,,,
15,CLE,CLE,,,,,,,,,,,,,,,
16,HOU,KC,,,,,,,,,,,,,,,
17,PIT,PIT,,,,,,,,,,,,,,,
18,DEN,DEN,,,,,,,,,,,,,,,
